date,tourist,pc_Siguniang,mob_Siguniang,pc_SichuanEpidemic,mob_SichuanEpidemic,time_idx,weekday,year,month,day,destination,Trend,Seasonal,Resid
2020-10-15,2005,530,964,148,614,198,Wednesday,2020,10,15,SiGuniang,2297.618056,764.5099563,2442.871988
2020-10-16,2163,453,975,104,581,199,Thursday,2020,10,16,SiGuniang,2345.162068,923.6365326,2394.201399
2020-10-17,3589,219,978,144,571,200,Friday,2020,10,17,SiGuniang,2392.625574,1880.672303,2815.702123
2020-10-18,2842,231,997,102,498,201,Saturday,2020,10,18,SiGuniang,2440.005295,1388.316667,2513.678038
2020-10-19,2207,574,1057,154,400,202,Sunday,2020,10,19,SiGuniang,2492.506311,668.1811828,2546.312506
2020-10-20,1834,481,998,162,496,203,Monday,2020,10,20,SiGuniang,2546.404109,707.6503518,2079.945539
2020-10-21,2222,502,1056,123,408,204,Tuesday,2020,10,21,SiGuniang,2575.604155,642.7181236,2503.677722
2020-10-22,2357,509,997,99,346,205,Wednesday,2020,10,22,SiGuniang,2566.482088,731.1046043,2559.413308
2020-10-23,2855,443,1000,91,348,206,Thursday,2020,10,23,SiGuniang,2559.035536,886.897369,2909.067095
2020-10-24,4822,223,1058,93,433,207,Friday,2020,10,24,SiGuniang,2551.944508,2036.638816,3733.416676
2020-10-25,4569,253,1140,101,426,208,Saturday,2020,10,25,SiGuniang,2536.932836,1389.25762,4142.809545
2020-10-26,2139,540,1014,139,558,209,Sunday,2020,10,26,SiGuniang,2518.665919,630.6277405,2489.706341
2020-10-27,2209,425,964,142,457,210,Monday,2020,10,27,SiGuniang,2496.914713,704.60981,2507.475477
2020-10-28,2106,445,961,114,473,211,Tuesday,2020,10,28,SiGuniang,2475.47145,638.0805606,2492.44799
2020-10-29,2551,459,987,125,376,212,Wednesday,2020,10,29,SiGuniang,2443.219614,705.769373,2902.011013
2020-10-30,2320,457,993,140,628,213,Thursday,2020,10,30,SiGuniang,2398.324752,857.2400357,2564.435213
2020-10-31,3498,212,978,121,663,214,Friday,2020,10,31,SiGuniang,2344.699507,2098.472256,2554.828237
2020-11-01,3656,236,1002,66,446,215,Saturday,2020,11,1,SiGuniang,2285.522365,1379.79272,3490.684915
2020-11-02,1850,423,992,118,376,216,Sunday,2020,11,2,SiGuniang,2213.367836,620.4474421,2516.184722
2020-11-03,1909,426,968,151,574,217,Monday,2020,11,3,SiGuniang,2125.281198,714.1745121,2569.544289
2020-11-04,1625,414,969,110,487,218,Tuesday,2020,11,4,SiGuniang,2031.563432,656.7469387,2436.68963
2020-11-05,1654,454,942,118,426,219,Wednesday,2020,11,5,SiGuniang,1941.261585,715.06343,2497.674985
2020-11-06,2886,416,958,91,372,220,Thursday,2020,11,6,SiGuniang,1857.359333,862.9107105,3665.729956
2020-11-07,3624,216,953,85,317,221,Friday,2020,11,7,SiGuniang,1776.400724,2003.972694,3343.626582
2020-11-08,3117,259,998,80,366,222,Saturday,2020,11,8,SiGuniang,1694.551766,1378.762949,3543.685285
2020-11-09,1219,442,940,106,479,223,Sunday,2020,11,9,SiGuniang,1617.40895,637.680869,2463.910181
2020-11-10,1257,402,1047,151,628,224,Monday,2020,11,10,SiGuniang,1542.326585,735.5777193,2479.095696
2020-11-11,1257,340,883,150,641,225,Tuesday,2020,11,11,SiGuniang,1482.959269,684.887245,2589.153486
2020-11-12,1047,457,953,180,798,226,Wednesday,2020,11,12,SiGuniang,1426.462117,733.7502371,2386.787645
2020-11-13,1566,416,1027,146,582,227,Thursday,2020,11,13,SiGuniang,1366.80036,874.8410196,2824.35862
2020-11-14,2226,222,942,85,469,228,Friday,2020,11,14,SiGuniang,1309.565583,1909.775056,2506.65936
2020-11-15,2181,226,955,99,649,229,Saturday,2020,11,15,SiGuniang,1255.845828,1370.802866,3054.351305
2020-11-16,838,395,898,603,1328,230,Sunday,2020,11,16,SiGuniang,1204.315949,660.5128301,2473.171221
2020-11-17,868,425,921,606,1468,231,Monday,2020,11,17,SiGuniang,1158.722819,756.2437011,2453.03348
2020-11-18,802,336,917,304,929,232,Tuesday,2020,11,18,SiGuniang,1117.966948,713.4296439,2470.603408
2020-11-19,888,412,928,220,895,233,Wednesday,2020,11,19,SiGuniang,1081.313761,748.6208606,2558.065378
2020-11-20,897,344,899,207,904,234,Thursday,2020,11,20,SiGuniang,1042.751149,880.2201941,2474.028657
2020-11-21,1832,211,921,150,907,235,Friday,2020,11,21,SiGuniang,998.9706625,1811.553025,2521.476313
2020-11-22,1500,202,910,137,854,236,Saturday,2020,11,22,SiGuniang,951.3261847,1387.52336,2661.150456
2020-11-23,556,380,874,213,925,237,Sunday,2020,11,23,SiGuniang,898.4651067,686.5863968,2470.948496
2020-11-24,581,389,875,207,882,238,Monday,2020,11,24,SiGuniang,838.5840796,778.3247693,2464.091151
