date,tourist,pc_Siguniang,mob_Siguniang,pc_SichuanEpidemic,mob_SichuanEpidemic,time_idx,weekday,year,month,day,destination,Trend,Seasonal,Resid
2020-09-06,288,312,917,114,432,159,Saturday,2020,9,6,SiGuniang,421.9143383,1344.038046,2022.047616
2020-09-07,397,644,920,166,551,160,Sunday,2020,9,7,SiGuniang,472.5359557,873.4804173,2550.983627
2020-09-08,430,678,929,190,606,161,Monday,2020,9,8,SiGuniang,527.995398,819.3888012,2582.615801
2020-09-09,492,575,929,120,471,162,Tuesday,2020,9,9,SiGuniang,586.4371303,830.8127048,2574.750165
2020-09-10,384,582,931,123,354,163,Wednesday,2020,9,10,SiGuniang,634.6915937,877.421149,2371.887257
2020-09-11,292,532,939,144,412,164,Thursday,2020,9,11,SiGuniang,679.0884563,979.7098024,2133.201741
2020-09-12,968,327,963,85,365,165,Friday,2020,9,12,SiGuniang,725.9606313,1316.345227,2425.694142
2020-09-13,1184,321,966,114,358,166,Saturday,2020,9,13,SiGuniang,784.1173763,1369.712157,2530.170467
2020-09-14,628,637,982,131,391,167,Sunday,2020,9,14,SiGuniang,859.1494674,829.5384898,2439.312043
2020-09-15,738,671,963,223,856,168,Monday,2020,9,15,SiGuniang,946.8780918,786.0101662,2505.111742
2020-09-16,461,597,967,205,871,169,Tuesday,2020,9,16,SiGuniang,1031.883251,793.0907384,2136.026011
2020-09-17,992,558,962,148,667,170,Wednesday,2020,9,17,SiGuniang,1102.411643,846.1536934,2543.434664
2020-09-18,1220,569,1009,120,584,171,Thursday,2020,9,18,SiGuniang,1157.213573,961.6583297,2601.128098
2020-09-19,1773,349,1056,162,924,172,Friday,2020,9,19,SiGuniang,1197.506377,1487.065667,2588.427956
2020-09-20,1718,310,1108,140,883,173,Saturday,2020,9,20,SiGuniang,1215.710816,1386.065578,2616.223606
2020-09-21,1019,667,1167,229,871,174,Sunday,2020,9,21,SiGuniang,1214.065577,789.2297312,2515.704692
2020-09-22,843,724,1108,218,855,175,Monday,2020,9,22,SiGuniang,1199.688082,755.7279391,2387.583979
2020-09-23,898,627,1128,193,857,176,Tuesday,2020,9,23,SiGuniang,1162.025879,754.062024,2481.912097
2020-09-24,1029,645,1150,293,1098,177,Wednesday,2020,9,24,SiGuniang,1110.194804,817.8745191,2600.930677
2020-09-25,1163,656,1098,850,1974,178,Thursday,2020,9,25,SiGuniang,1054.411356,945.2538858,2663.334759
2020-09-26,1052,431,1249,329,1817,179,Friday,2020,9,26,SiGuniang,988.8395734,1613.958694,1949.201733
2020-09-27,1213,820,1384,583,1595,180,Saturday,2020,9,27,SiGuniang,885.159239,1384.760878,2443.079883
2020-09-28,1055,845,1463,434,1160,181,Sunday,2020,9,28,SiGuniang,720.9618086,755.4089221,3078.629269
2020-09-29,1022,852,1642,450,1062,182,Monday,2020,9,29,SiGuniang,498.4516938,739.5233233,3284.024983
2020-09-30,1224,825,1951,274,944,183,Tuesday,2020,9,30,SiGuniang,857.158309,718.7993875,3148.042303
2020-10-01,4174,309,2356,104,844,184,Wednesday,2020,10,1,SiGuniang,828.2391216,799.4626747,6046.298204
2020-10-02,11559,324,2731,123,890,185,Thursday,2020,10,2,SiGuniang,2938.280434,943.784397,11176.93517
2020-10-03,13000,374,2851,97,859,186,Friday,2020,10,3,SiGuniang,5048.321746,1710.115453,9741.562802
2020-10-04,13000,304,2796,102,805,187,Saturday,2020,10,4,SiGuniang,5048.321746,1380.565166,10071.11309
2020-10-05,12677,329,2302,91,637,188,Sunday,2020,10,5,SiGuniang,5048.321746,724.696265,10403.98199
2020-10-06,9308,299,1964,106,719,189,Monday,2020,10,6,SiGuniang,5048.321746,728.6334478,7031.044806
2020-10-07,4734,324,1772,127,872,190,Tuesday,2020,10,7,SiGuniang,5048.321746,685.6782542,2500
2020-10-08,2043,357,1519,133,749,191,Wednesday,2020,10,8,SiGuniang,4586.945874,782.7514892,173.3026365
2020-10-09,1739,631,1289,157,624,192,Thursday,2020,10,9,SiGuniang,4150.775543,940.5855817,147.6388751
2020-10-10,1784,496,1062,157,621,193,Friday,2020,10,10,SiGuniang,3747.130352,1804.970946,-268.1012975
2020-10-11,1879,285,994,116,549,194,Saturday,2020,10,11,SiGuniang,3342.548415,1377.09308,659.3585053
2020-10-12,1626,518,1032,304,909,195,Sunday,2020,10,12,SiGuniang,2765.689065,696.9559083,1663.355026
2020-10-13,1998,535,1005,264,930,196,Monday,2020,10,13,SiGuniang,2252.106999,717.9334836,2527.959517
2020-10-14,1915,443,986,187,685,197,Tuesday,2020,10,14,SiGuniang,2258.664717,660.4556695,2495.879614
